2020/02/04 12:06:54 PM GMT+5:30,teacher are punctual but they should also give us the some practical knowledge other than theortical,Excellent lectures are delivered by teachers and all teachers are very punctual.,All courses material provide very good knowledge in depth,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",teachers give us all the information required to improve the performance.
2020/02/04 12:09:54 PM GMT+5:30,way of teaching is good,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery",bunks a lot,The course notes are very knowledgeable and proper.,content of the courses are update and mostly based on current technology.
2020/02/04 12:11:39 PM GMT+5:30,every thing is fine,It's appreciable,Courses are very good and useful,Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand.,content is good enough
2020/02/04 12:14:43 PM GMT+5:30,the material provided is beneficial and provides much knowledge,fully knowledgeable,exam pattern is good and good paper checking.,"examination pattern, marks, paper checking is good.","	Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section give marks without taking viva and some does not give marks accordingl"
2020/02/04 12:16:30 PM GMT+5:30,as per the exam pattern maths exam always have to be subjective rather than objective,as per the lab evaluation we r satisfied with it,"	lab and practical work are litial good","	not very good... must be improved",i think mid term should be also subjective
2020/02/04 12:18:07 PM GMT+5:30,Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,With the help of practicals students are able to understand all the concept.so it is also good.,exams conducting is very good .but paper correction is very bad,it was good but it can be improved,good but marks are not given properly
2020/02/04 12:19:46 PM GMT+5:30,The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same ,Everything is pretty well organised,average 3.5/5,for some subjects like maths and english(passage writing) the time duration neds to increase,every thing is fine.
2020/02/04 12:21:15 PM GMT+5:30,More number of lab/practicals should be there to enhance practical knowledge.,Here we r able to do every thing by our own with u r valuable support,every thing is excllent but paper checking is not good,Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking,"	exam pattern is very good but if you give question papers to students it is helpful"
2020/02/04 12:21:55 PM GMT+5:30,"The evaluation is , as this faculty is really weird. She gives us remarks on the basis of how we present things in front of it, she never looks for the content of our answer.",She is not giving depth of course . She is trying to cover his work only .,"Discipline, punctuality , lecture delivery all are good but have to do some work for quality of lecture","Interaction is very good,accurate supplement material is provided but recommendation of books is very poor",Very good teaching and management
2020/02/04 12:22:36 PM GMT+5:30,excellent but checking procedure is not exceptable since we fail to know our faults in mid term,"	Excellent exam pattern, paper checking in this university is easy","	I don't like the -ve marking system. appart from that everything is great","Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good",super but paper checking is not good
2020/02/04 12:24:59 PM GMT+5:30,content is very knowledgable and gives us huge knowledge of every subject,way of teaching is average,"	marks distribution is good but paper checking is not that well","The faculty is good ,interaction between student and teacher is also goo",dont behave well with students and they Dont even teach all the concepts in the subject.
2020/02/04 12:26:13 PM GMT+5:30,That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,exam pattern is good and marks distribution is also good but paper checking is too hard,PAPER CHECKING IS VERY HARD REMAINING IS GOOD,ALL PRACTICAL WORK IS GOOD,"excellent, but reduse the speed of teaching ,up to understand the students"
2020/02/04 12:28:07 PM GMT+5:30,teacher is punctual but they should also give us the some practical knowledge other than theortical,content of courses are average,teachers give us all the information required to improve the performance,"	It's good when compare with my Btech lectures and teaching activities",way of teaching is good
2020/02/04 12:30:13 PM GMT+5:30,Teacher is pretty well organised,"	Content provided by ma'am is excellent so that we learn more and more about that particular subject",Teacher doesnot provide answer key for reference so we are in ambiguity about marking scheme.,"I am very much satisfied with teaching faculty in terms of iteraction ,lecture delivery, punctuality etc",staff is showing partiality between north indians and south indians
2020/02/04 12:33:18 PM GMT+5:30,lecture delivery and punctuality was good but the interaction with students was not good.,"The material provided by faculty is in depth of course, The course taught is knowledgeable","Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good","good, and also like the teaching style",super but paper checking is not good
2020/02/04 12:39:26 PM GMT+5:30,She has to improve in terms of teaching style and knowledge.,She is unfair and baised,"not every one gets opportunity to ask doubt, only favoured students get",very nice teaching and interaction between students and lectures was good,Lab evaluations are very strict
2020/02/04 5:11:46 PM GMT+5:30,I enjoy it very much.,I enjoy it very much. ,I enjoy it very much.,I enjoy it very much .,I enjoy it very much. 
2020/02/04 5:16:26 PM GMT+5:30,helps us overcoming fears regarding communication skills and stuff .,introduces us to new topics and helps out with diverse topics ,explains well and teaches well .,"explains well , makes sure that topics are clear and understoodable .","helps us overcoming problems , explains well and good "
2020/02/04 5:17:29 PM GMT+5:30,Very good,Very good,Very good,Very good,Very good
2020/02/04 5:19:25 PM GMT+5:30,She is a good tutor and helped me a lot to overcome most problems,She helped me in ever sense,She is good in teaching and and very polite,Awesome,Awesome
2020/02/04 5:24:39 PM GMT+5:30,Lovely teaching ,Very supportive ,Good not bad,Good teaching ,Understanding
2020/02/04 5:30:10 PM GMT+5:30,Good teaching skills.,A very approachable teacher.,Gives amazing power point presentations.,Knows how to handle a classroom.,Clears all the doubts students have.
2020/02/04 5:35:24 PM GMT+5:30,Great communication skills and answering ability for doubts ,Great communication skills and answering ability for doubts ,Great communication skills and answering ability for doubts ,Great communication skills and answering ability for doubts ,Great communication skills and answering ability for doubts 
2020/02/04 5:47:23 PM GMT+5:30,She's a great teacher and her lessons really help a lot,I just love her English ,Gathered a great knowledge within a less period under his guidance ,A great teacher,I just want to thank him for sharing his knowledge of networking
2020/02/04 5:48:08 PM GMT+5:30,Nice inetractive sessions are done.,Learning is fun in the class.,Interaction with students is good.,Fun with learning. ,Explanation is the best.
2020/02/04 5:58:47 PM GMT+5:30,Helps us make a difference,She was very helpful in improving our skills,Teaches very effectively,He makes biology very interesting,Teaches the concepts in an understandable manner
2020/02/04 6:30:51 PM GMT+5:30,Good in interacting ,excellent in interacting with students,Nice teacher,Sir is really excellent ,Good
2020/02/04 7:24:01 PM GMT+5:30,Enjoyable teaching and interaction ,Engaging the students in a great way,Shocking and energizing ,Study of life done well,A 10 in the world of 1s and 0s
2020/02/04 7:30:21 PM GMT+5:30,Don't know....she doesn't teach us,Don't know....she doesn't teach us,Don't know....she doesn't teach us,Don't know....he doesn't teach us,Don't know....he doesn't teach us
2020/02/04 7:31:43 PM GMT+5:30,Very patient and understanding teacher,Filled with fun stories and great enthusiasm,A bit strict but very kind,Very interactive,Very good personality and entertaining
2020/02/04 7:32:42 PM GMT+5:30,Has a very innovative and perspective side to her teaching,Has a impeccable knowledge about the English language,Has an excellent way to how they teach,Has a great way of explaining concepts,Has a great perspective of problem solving
2020/02/04 10:07:49 PM GMT+5:30,She is good.,She is good. ,She is good.,He is good.,He is good.
